; Advanced unit fields

; A) 'tribe may build' mask:		0 - can't; 1 - can
; B) 'not allowed on map' mask:		1 - not allowed on map
; C) minimum bribe amount:			n - minimum bribe; 0 - don't care; -1 - can't bribe
; D) 'build transport site' mask:	1: can; 0: can't for each site type
; E) 'use transport site' mask:		1: can; 0: can't for each site type
; F) native transport ability:		1: can; 0: can't for each map relationship type
; G) General flags
;	00000001	invisible until attack:					1 - invisible
;	00000010	non-disbandable (human players only):	1 - cannot disband
;   00000100	0-range-air-unit damage override:		1 - override damage
;   00001000	barbarian units can't be bought off:	1 - can't buy off
;	00010000	impassable terrain override:			1 - override impassable terrain
;   01000000    barbarian unit will not expire:         1 - no expire
;	10000000    override .SPR file for this unit:	    1 - don't use .SPR

;   A         B     C          D                 E               F             G

@UNITS_ADVANCED
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Settlers
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Engineers
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Warriors
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Phalanx
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Archers
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Legion
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Pikemen
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Musketeers
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Fanatics
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Partisans
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Alpine Troops
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Riflemen
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Marines
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Paratroopers
11111111, 00000000, 0, 0000000000000000,0000000000000000,0000000000000000, 00000000  ;Mech. Inf.
